priority_id,rank,priority_class,risk_level,cell_id,operational_risk_index,forecast_operational_risk_index_24h,forecast_operational_risk_index_48h,forecast_operational_risk_index_72h,location,exposure,road_entity_count,settlement_count,verified_report_ids,report_priority_boost,reason,recommended_action,latitude,longitude
P2-167,177,P2,HIGH,SKM_05663,65.9,63.3,62.9,58.0,Tanak Bridge / Unnamed OSM road,22 OSM road entities,22,0,[],False,Current Operational Risk Index 65.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.326894,88.470692
P2-168,178,P2,HIGH,SKM_06021,65.9,63.3,62.7,57.8,SH1 · Rannipool - Rumtek - Sirwani Road,1 OSM road entity,1,0,[],False,Current Operational Risk Index 65.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.28992,88.551029
P2-169,179,P2,HIGH,SKM_06331,65.9,67.4,64.9,61.2,Unnamed OSM road,14 OSM road entities,14,0,[],False,Current Operational Risk Index 65.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.25763,88.156659
P2-170,180,P2,HIGH,SKM_06381,65.9,62.8,62.5,57.3,Unnamed OSM settlement,10 OSM road entities; 1 mapped settlement,10,1,[],False,Current Operational Risk Index 65.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.252546,88.661604
P2-171,181,P2,HIGH,SKM_05303,65.8,67.1,65.7,61.3,Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 65.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.365252,88.238661
P2-172,182,P2,HIGH,SKM_06151,65.8,66.2,63.9,60.5,Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 65.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.276249,88.086132
P2-173,183,P2,HIGH,SKM_02340,65.7,68.0,68.9,63.6,Lachen,3 OSM road entities; 1 mapped settlement,3,1,[],False,Current Operational Risk Index 65.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.73224,88.547103
P2-174,184,P2,HIGH,SKM_05244,65.7,62.3,61.8,57.1,SH / Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 65.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.371913,88.481397
P2-175,185,P2,HIGH,SKM_07101,65.7,66.7,64.6,60.0,MDR / Unnamed OSM road,8 OSM road entities,8,0,[],False,Current Operational Risk Index 65.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.164649,88.448376
P2-176,186,P2,HIGH,SKM_07368,65.7,67.4,64.9,60.4,Unnamed OSM road,10 OSM road entities,10,0,[],False,Current Operational Risk Index 65.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.10188,88.407222
P2-177,187,P2,HIGH,SKM_05786,65.6,64.3,63.8,59.0,Gipmochi Highway / NH 717B · Jelep Pass Highway / Unnamed OSM road,6 OSM road entities,6,0,[],False,Current Operational Risk Index 65.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.313568,88.83429
P2-178,188,P2,HIGH,SKM_05976,65.6,66.1,63.8,60.4,Unnamed OSM road,1 OSM road entity,1,0,[],False,Current Operational Risk Index 65.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.294224,88.096412
P2-179,189,P2,HIGH,SKM_06672,65.6,65.3,63.9,59.3,NH710 / Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 65.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.219314,88.398598
P2-180,190,P2,HIGH,SKM_07143,65.5,66.4,64.7,60.1,ODR / Unnamed OSM road,27 OSM road entities,27,0,[],False,Current Operational Risk Index 65.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.156916,88.317088
P2-181,191,P2,HIGH,SKM_02269,65.4,67.6,68.5,63.2,NH310AG · North Sikkim Highway,1 OSM road entity,1,0,[],False,Current Operational Risk Index 65.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.741264,88.547231
P2-182,192,P2,HIGH,SKM_06921,65.4,63.6,62.5,57.8,Unnamed OSM road,1 OSM road entity,1,0,[],False,Current Operational Risk Index 65.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.189494,88.650575
P2-183,193,P2,HIGH,SKM_07247,65.4,66.4,64.4,59.9,MDR / Unnamed OSM road,9 OSM road entities,9,0,[],False,Current Operational Risk Index 65.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.138382,88.36732
P2-184,194,P2,HIGH,SKM_06455,65.3,63.1,62.3,57.4,Pakyong,8 OSM road entities; 1 mapped settlement,8,1,[],False,Current Operational Risk Index 65.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.244227,88.600889
P2-185,195,P2,HIGH,SKM_06843,65.3,63.8,62.7,57.9,Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 65.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.199218,88.590151
P2-186,196,P2,HIGH,SKM_02981,65.2,64.9,64.9,60.6,NH310AG · North Sikkim Highway / Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 65.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.650329,88.606764
P2-187,197,P2,HIGH,SKM_06691,65.2,63.5,62.5,57.6,Unnamed OSM road,6 OSM road entities,6,0,[],False,Current Operational Risk Index 65.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.217268,88.590407
P2-188,198,P2,HIGH,SKM_07378,65.2,66.7,64.4,59.8,NH710 / Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 65.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.093055,88.38694
P2-189,199,P2,HIGH,SKM_05900,65.1,67.0,64.5,61.0,MDR / Unnamed OSM road,8 OSM road entities,8,0,[],False,Current Operational Risk Index 65.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.302247,88.217751
P2-190,200,P2,HIGH,SKM_06949,65.1,66.5,64.3,60.1,Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 65.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.184993,88.206381
P2-191,201,P2,HIGH,SKM_07317,65.1,66.1,64.7,59.8,Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 65.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.121456,88.246053
P2-192,202,P2,HIGH,SKM_02412,65.0,67.1,67.9,62.7,NH310AG · North Sikkim Highway / Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 65.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.723102,88.557117
P2-193,203,P2,HIGH,SKM_05915,65.0,63.8,63.0,58.3,Ravangla,24 OSM road entities; 1 mapped settlement,24,1,[],False,Current Operational Risk Index 65.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.300845,88.369305
P2-194,204,P2,HIGH,SKM_05977,65.0,65.6,63.3,59.9,Unnamed OSM road,5 OSM road entities,5,0,[],False,Current Operational Risk Index 65.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.294144,88.106515
P2-195,205,P2,HIGH,SKM_06823,65.0,65.2,63.6,59.1,Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 65.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.201364,88.388278
P2-196,206,P2,HIGH,SKM_07007,65.0,66.6,63.7,59.6,Unnamed OSM road,7 OSM road entities,7,0,[],False,Current Operational Risk Index 65.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.176878,88.095262
P2-197,207,P2,HIGH,SKM_06063,64.9,65.2,62.9,59.6,Unnamed OSM road,5 OSM road entities,5,0,[],False,Current Operational Risk Index 64.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.285276,88.08622
P2-198,208,P2,HIGH,SKM_06091,64.9,64.5,63.1,58.7,NH510 / SH / Unnamed OSM road,6 OSM road entities,6,0,[],False,Current Operational Risk Index 64.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.282793,88.369084
P2-199,209,P2,HIGH,SKM_06851,64.9,62.8,61.9,57.1,NH 717B · Jelep Pass Highway / Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 64.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.198279,88.670893
P2-200,210,P2,HIGH,SKM_07066,64.9,66.6,63.7,59.5,Unnamed OSM road,10 OSM road entities,10,0,[],False,Current Operational Risk Index 64.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.167851,88.095174
P2-201,211,P2,HIGH,SKM_07192,64.9,65.8,64.1,59.5,Unnamed OSM road,21 OSM road entities,21,0,[],False,Current Operational Risk Index 64.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.147984,88.306892
P2-202,212,P2,HIGH,SKM_07321,64.9,65.9,64.2,59.5,SH / Unnamed OSM road,9 OSM road entities,9,0,[],False,Current Operational Risk Index 64.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.120812,88.316665
P2-203,213,P2,HIGH,SKM_05176,64.8,61.5,61.8,56.7,NH310A · North Sikkim Highway,1 OSM road entity,1,0,[],False,Current Operational Risk Index 64.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.379246,88.633161
P2-204,214,P2,HIGH,SKM_05194,64.8,63.5,63.1,58.4,Sherathang,6 OSM road entities; 1 mapped settlement,6,1,[],False,Current Operational Risk Index 64.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.376997,88.815115
P2-205,215,P2,HIGH,SKM_05725,64.8,66.6,64.2,60.6,MDR / Unnamed OSM road,10 OSM road entities,10,0,[],False,Current Operational Risk Index 64.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.320299,88.217948
P2-206,216,P2,HIGH,SKM_06671,64.8,64.7,63.2,58.7,Unnamed OSM road,7 OSM road entities,7,0,[],False,Current Operational Risk Index 64.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.219415,88.388502
P2-207,217,P2,HIGH,SKM_06885,64.8,65.9,64.0,59.7,Unnamed OSM road,7 OSM road entities,7,0,[],False,Current Operational Risk Index 64.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.193301,88.28723
P2-208,218,P2,HIGH,SKM_07310,64.8,66.3,63.9,59.4,Unnamed OSM road,14 OSM road entities,14,0,[],False,Current Operational Risk Index 64.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.122315,88.145175
P2-209,219,P2,HIGH,SKM_07296,64.7,66.1,63.9,59.3,Unnamed OSM road,7 OSM road entities,7,0,[],False,Current Operational Risk Index 64.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.129058,88.397473
P2-210,220,P2,HIGH,SKM_07142,64.6,65.5,63.8,59.2,Unnamed OSM road,20 OSM road entities,20,0,[],False,Current Operational Risk Index 64.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.15701,88.306997
P2-211,221,P2,HIGH,SKM_07162,64.6,65.0,63.0,58.4,Unnamed OSM road,9 OSM road entities,9,0,[],False,Current Operational Risk Index 64.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.154985,88.508797
P2-212,222,P2,HIGH,SKM_02411,64.5,66.8,67.8,62.4,NH310AG · North Sikkim Highway / Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 64.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.723215,88.546976
P2-213,223,P2,HIGH,SKM_07198,64.5,65.5,63.6,59.0,MDR / Unnamed OSM road,11 OSM road entities,11,0,[],False,Current Operational Risk Index 64.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.147407,88.36743
P2-214,224,P2,HIGH,SKM_07232,64.5,65.7,64.0,59.2,Unnamed OSM road,6 OSM road entities,6,0,[],False,Current Operational Risk Index 64.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.139774,88.215985
P2-215,225,P2,HIGH,SKM_06155,64.4,65.5,63.0,59.5,Unnamed OSM road,5 OSM road entities,5,0,[],False,Current Operational Risk Index 64.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.27593,88.12654
P2-216,226,P2,HIGH,SKM_06603,64.4,62.7,61.9,57.0,NH10 / NH10 · RANGPO-GANGTOK Rd / NH510,8 OSM road entities,8,0,[],False,Current Operational Risk Index 64.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.227295,88.499674
P2-217,227,P2,HIGH,SKM_06615,64.4,62.2,61.4,56.4,Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 64.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.225946,88.620822
P2-218,228,P2,HIGH,SKM_05167,64.3,60.5,60.5,55.6,SH7 · Penlong - Samdong Road,1 OSM road entity,1,0,[],False,Current Operational Risk Index 64.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.380281,88.542177
P2-219,229,P2,HIGH,SKM_05661,64.3,61.8,61.3,56.4,Unnamed OSM road,7 OSM road entities,7,0,[],False,Current Operational Risk Index 64.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.327105,88.450482
P2-220,230,P2,HIGH,SKM_06590,64.3,64.4,62.8,58.4,Unnamed OSM road,9 OSM road entities,9,0,[],False,Current Operational Risk Index 64.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.228639,88.368421
P2-221,231,P2,HIGH,SKM_06693,64.3,62.4,61.5,56.6,NH 717A / Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 64.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.217038,88.610596
P2-222,232,P2,HIGH,SKM_06517,64.2,63.0,62.0,57.2,NH510 / Unnamed OSM road,35 OSM road entities,35,0,[],False,Current Operational Risk Index 64.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.23706,88.429115
P2-223,233,P2,HIGH,SKM_06111,64.1,61.9,61.2,56.3,Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 64.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.28067,88.571105
P2-224,234,P2,HIGH,SKM_07100,64.1,65.0,63.0,58.4,MDR / Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 64.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.164753,88.438285
P2-225,235,P2,HIGH,SKM_02909,64.0,63.9,63.8,59.6,NH310AG · North Sikkim Highway / Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 64.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.659353,88.606896
P2-226,236,P2,HIGH,SKM_06375,63.9,61.6,60.9,55.9,NH 717A / Unnamed OSM road,5 OSM road entities,5,0,[],False,Current Operational Risk Index 63.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.253252,88.601018
P2-227,237,P2,HIGH,SKM_06895,63.9,64.2,62.5,58.0,NH710 / Unnamed OSM road,9 OSM road entities,9,0,[],False,Current Operational Risk Index 63.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.192338,88.388167
P2-228,238,P2,HIGH,SKM_07072,63.9,65.4,62.9,58.7,Unnamed OSM road,7 OSM road entities,7,0,[],False,Current Operational Risk Index 63.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.167365,88.155727
P2-229,239,P2,HIGH,SKM_06623,63.8,61.0,60.6,55.5,Unnamed OSM road,1 OSM road entity,1,0,[],False,Current Operational Risk Index 63.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.224988,88.701582
P2-230,240,P2,HIGH,SKM_06749,63.8,63.9,62.3,57.8,Unnamed OSM road,9 OSM road entities,9,0,[],False,Current Operational Risk Index 63.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.210389,88.38839
P2-231,241,P2,HIGH,SKM_06357,63.7,62.2,61.4,56.5,Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 63.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.255213,88.419247
P2-232,242,P2,HIGH,SKM_07291,63.6,64.6,62.8,58.2,NH710 / Unnamed OSM road,5 OSM road entities,5,0,[],False,Current Operational Risk Index 63.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.129551,88.347034
P2-233,243,P2,HIGH,SKM_02553,63.5,64.9,65.7,60.5,NH310AG · North Sikkim Highway / Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 63.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.705053,88.55686
P2-234,244,P2,HIGH,SKM_03266,63.5,62.8,62.9,58.6,NH310A / Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 63.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.613636,88.65689
P2-235,245,P2,HIGH,SKM_05363,63.5,62.5,61.9,57.2,NH 717B / NH717B / Unnamed OSM road,6 OSM road entities,6,0,[],False,Current Operational Risk Index 63.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.358552,88.845139
P2-236,246,P2,HIGH,SKM_06750,63.5,63.5,62.0,57.4,NH710 / Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 63.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.210289,88.398485
P2-237,247,P2,HIGH,SKM_05177,63.4,60.1,60.4,55.2,NH310A · North Sikkim Highway / Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 63.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.379127,88.64327
P2-238,248,P2,HIGH,SKM_06098,63.4,61.1,60.6,55.7,MDR / Unnamed OSM road,7 OSM road entities,7,0,[],False,Current Operational Risk Index 63.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.282083,88.439794
P2-239,249,P2,HIGH,SKM_06197,63.4,61.3,60.6,55.7,Unnamed OSM road,1 OSM road entity,1,0,[],False,Current Operational Risk Index 63.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.271871,88.550779
P2-240,250,P2,HIGH,SKM_07249,63.4,64.5,62.4,57.9,Unnamed OSM road,8 OSM road entities,8,0,[],False,Current Operational Risk Index 63.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.138184,88.387497
P2-241,251,P2,HIGH,SKM_05016,63.3,60.2,60.6,55.4,NH310A · North Sikkim Highway,1 OSM road entity,1,0,[],False,Current Operational Risk Index 63.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.397294,88.633426
P2-242,252,P2,HIGH,SKM_05324,63.3,60.2,59.7,55.0,Unnamed OSM road,26 OSM road entities,26,0,[],False,Current Operational Risk Index 63.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.363206,88.450952
P2-243,253,P2,HIGH,SKM_06074,63.3,65.1,62.7,59.1,Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 63.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.284369,88.197349
P2-244,254,P2,HIGH,SKM_06698,63.3,60.9,60.2,55.2,Unnamed OSM settlement,4 OSM road entities; 1 mapped settlement,4,1,[],False,Current Operational Risk Index 63.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.216448,88.661068
P2-245,255,P2,HIGH,SKM_05062,63.2,62.6,62.6,57.4,Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 63.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.391683,88.309746
P2-246,256,P2,HIGH,SKM_06299,63.2,59.9,59.7,54.5,Unnamed OSM settlement,3 OSM road entities; 1 mapped settlement,3,1,[],False,Current Operational Risk Index 63.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.261207,88.692033
P2-247,257,P2,HIGH,SKM_06332,63.2,64.7,62.1,58.5,Unnamed OSM road,10 OSM road entities,10,0,[],False,Current Operational Risk Index 63.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.257546,88.166759
P2-248,258,P2,HIGH,SKM_06819,63.2,63.8,62.0,57.6,Unnamed OSM road,9 OSM road entities,9,0,[],False,Current Operational Risk Index 63.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.201758,88.347901
P2-249,259,P2,HIGH,SKM_06850,63.2,61.3,60.3,55.5,SH / Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 63.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.198399,88.660801
P2-250,260,P2,HIGH,SKM_07365,63.1,64.5,62.3,57.8,MDR / NH710 / Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 63.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.10218,88.376966
P2-251,261,P2,HIGH,SKM_02779,63.0,63.4,62.3,59.3,NH310A / Unnamed OSM road,9 OSM road entities,9,0,[],False,Current Operational Risk Index 63.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.675936,88.728794
P2-252,262,P2,HIGH,SKM_05250,63.0,59.3,59.3,54.4,SH7 · Penlong - Samdong Road,1 OSM road entity,1,0,[],False,Current Operational Risk Index 63.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.371256,88.542052
P2-253,263,P2,HIGH,SKM_05269,63.0,60.7,60.7,55.7,NH310,1 OSM road entity,1,0,[],False,Current Operational Risk Index 63.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.369002,88.734109
P2-254,264,P2,HIGH,SKM_07071,63.0,64.5,61.9,57.7,Unnamed OSM road,1 OSM road entity,1,0,[],False,Current Operational Risk Index 63.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.167448,88.145635
P2-255,265,P2,HIGH,SKM_05917,62.9,61.2,60.3,55.7,MDR / Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 62.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.300645,88.389512
